Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-40673,149,1
Action-40674,59,5
Action-40675,489,14
Action-40676,207,32
Action-40677,476,13
Action-40678,279,34
Action-40679,363,25
Action-40680,262,12
Action-40681,376,19
Action-40682,120,44
Action-40683,413,35
Action-40684,30,48
Action-40685,420,48
Action-40686,477,20
Action-40687,414,18
Action-40688,41,16
Action-40689,189,29
Action-40690,143,1
Action-40691,238,42
Action-40692,385,4
Action-40693,418,17
Action-40694,271,12
Action-40695,407,3
Action-40696,417,32
Action-40697,188,30
Action-40698,26,0
Action-40699,316,43
Action-40700,113,31
Action-40701,128,29
Action-40702,360,48
Action-40703,40,35
Action-40704,299,23
Action-40705,167,37
Action-40706,403,29
Action-40707,79,3
Action-40708,325,3
Action-40709,445,11
Action-40710,226,11
Action-40711,397,9
Action-40712,254,44
Action-40713,453,33
Action-40714,132,24
Action-40715,224,14
Action-40716,298,32
Action-40717,142,0
Action-40718,30,19
Action-40719,435,6
Action-40720,292,36
Action-40721,249,4
Action-40722,360,45
Action-40723,172,14
Action-40724,372,6
Action-40725,341,15
Action-40726,280,33
Action-40727,231,49
Action-40728,422,14
Action-40729,232,34
Action-40730,239,45
Action-40731,466,4
Action-40732,409,43
Action-40733,203,31
Action-40734,323,10
Action-40735,181,30
Action-40736,177,34
Action-40737,162,15
Action-40738,358,21
Action-40739,258,15
Action-40740,121,34
Action-40741,488,26
Action-40742,232,39
Action-40743,256,22
Action-40744,445,0
Action-40745,51,6
Action-40746,352,4
Action-40747,390,7
Action-40748,115,27
Action-40749,429,23
Action-40750,158,16
Action-40751,377,10
Action-40752,204,42
Action-40753,250,44
Action-40754,134,10
Action-40755,12,4
Action-40756,97,13
Action-40757,386,21
Action-40758,97,32
Action-40759,320,38
Action-40760,428,25
Action-40761,140,25
Action-40762,319,22
Action-40763,465,0
Action-40764,134,49
Action-40765,454,21
Action-40766,385,14
Action-40767,125,12
Action-40768,88,37
Action-40769,444,1
Action-40770,390,14
Action-40771,246,30
Action-40772,40,3
Action-40773,288,28
Action-40774,54,11
Action-40775,169,8
Action-40776,100,20
Action-40777,70,6
Action-40778,229,11
Action-40779,26,5
Action-40780,74,46
Action-40781,28,29
Action-40782,140,42
Action-40783,260,49
Action-40784,284,22
Action-40785,24,30
Action-40786,489,49
Action-40787,300,48
Action-40788,254,45
Action-40789,422,10
Action-40790,7,3
Action-40791,364,37
Action-40792,338,24
Action-40793,245,1
Action-40794,362,42
Action-40795,69,42
Action-40796,375,35
Action-40797,451,24
Action-40798,134,18
Action-40799,142,42
Action-40800,0,12
Action-40801,183,5
Action-40802,452,22
Action-40803,306,12
Action-40804,273,17
Action-40805,399,5
Action-40806,238,9
Action-40807,78,13
Action-40808,73,2
Action-40809,485,8
Action-40810,367,45
Action-40811,104,31
Action-40812,309,48
Action-40813,159,9
Action-40814,336,5
Action-40815,282,30
Action-40816,320,34
Action-40817,4,44
Action-40818,377,35
Action-40819,398,5
Action-40820,121,46
Action-40821,215,30
Action-40822,11,37
Action-40823,484,33
Action-40824,175,46
Action-40825,118,18
Action-40826,127,28
Action-40827,440,18
Action-40828,339,46
Action-40829,394,31
Action-40830,360,42
Action-40831,408,15
Action-40832,56,10
Action-40833,239,44
Action-40834,4,7
Action-40835,409,38
Action-40836,195,12
Action-40837,77,29
Action-40838,82,7
Action-40839,225,23
Action-40840,476,31
Action-40841,358,31
Action-40842,454,8
Action-40843,408,14
Action-40844,493,38
Action-40845,156,19
Action-40846,94,5
Action-40847,400,6
Action-40848,113,13
Action-40849,153,5
Action-40850,200,35
Action-40851,482,36
Action-40852,169,23
Action-40853,309,39
Action-40854,454,33
Action-40855,163,2
Action-40856,294,22
Action-40857,204,4
Action-40858,133,21
Action-40859,125,30
Action-40860,87,44
Action-40861,259,36
Action-40862,90,36
Action-40863,288,41
Action-40864,268,17
Action-40865,79,28
Action-40866,51,14
Action-40867,188,47
Action-40868,197,30
Action-40869,304,30
Action-40870,474,47
Action-40871,415,43
Action-40872,211,32
Action-40873,50,35
Action-40874,118,2
Action-40875,145,35
Action-40876,284,19
Action-40877,30,9
Action-40878,241,38
Action-40879,52,39
Action-40880,305,23
Action-40881,489,3
Action-40882,351,44
Action-40883,113,4
Action-40884,274,30
Action-40885,236,15
Action-40886,269,32
Action-40887,215,8
Action-40888,173,34
Action-40889,475,26
Action-40890,228,21
Action-40891,99,17
Action-40892,374,14
Action-40893,285,34
Action-40894,471,27
Action-40895,288,28
Action-40896,326,22
Action-40897,192,33
Action-40898,428,10
Action-40899,351,49
Action-40900,66,49
Action-40901,214,14
Action-40902,57,13
Action-40903,330,43
Action-40904,464,11
Action-40905,160,48
Action-40906,169,26
Action-40907,192,17
Action-40908,438,39
Action-40909,472,10
Action-40910,422,30
Action-40911,103,45
Action-40912,62,22
Action-40913,209,35
Action-40914,131,43
Action-40915,382,27
Action-40916,106,1
Action-40917,403,44
Action-40918,91,13
Action-40919,142,2
Action-40920,237,11
Action-40921,80,6
Action-40922,413,22
Action-40923,168,11
Action-40924,44,4
Action-40925,255,26
Action-40926,72,13
Action-40927,468,29
Action-40928,132,46
Action-40929,440,39
Action-40930,242,16
Action-40931,90,27
Action-40932,162,27
Action-40933,378,23
Action-40934,346,38
Action-40935,74,38
Action-40936,89,6
Action-40937,117,23
Action-40938,459,34
Action-40939,146,28
Action-40940,282,22
Action-40941,206,14
Action-40942,68,34
Action-40943,133,17
Action-40944,76,34
Action-40945,339,15
Action-40946,67,49
Action-40947,471,22
Action-40948,12,47
Action-40949,126,18
Action-40950,443,45
Action-40951,144,23
Action-40952,343,18
Action-40953,478,21
Action-40954,277,6
Action-40955,320,13
Action-40956,98,46
Action-40957,290,42
Action-40958,205,0
Action-40959,80,30
Action-40960,108,49
Action-40961,338,8
Action-40962,420,43
Action-40963,140,40
Action-40964,78,35
Action-40965,201,3
Action-40966,394,17
Action-40967,74,13
Action-40968,398,1
Action-40969,176,11
Action-40970,467,16
Action-40971,25,33
Action-40972,97,6
Action-40973,464,46
Action-40974,11,46
Action-40975,394,11
Action-40976,103,27
Action-40977,346,27
Action-40978,178,45
Action-40979,386,13
Action-40980,448,43
Action-40981,57,44
Action-40982,156,15
Action-40983,217,23
Action-40984,273,18
Action-40985,393,11
Action-40986,194,0
Action-40987,453,1
Action-40988,75,8
Action-40989,170,11
Action-40990,8,28
Action-40991,159,28
Action-40992,79,13
Action-40993,21,18
Action-40994,17,21
Action-40995,325,1
Action-40996,13,49
Action-40997,445,48
Action-40998,393,14
Action-40999,303,3
Action-41000,295,12
Action-41001,214,1
Action-41002,25,22
Action-41003,312,33
Action-41004,92,3
Action-41005,147,1
Action-41006,399,49
Action-41007,384,36
Action-41008,202,31
Action-41009,467,9
Action-41010,392,15
Action-41011,442,43
Action-41012,239,27
Action-41013,61,46
Action-41014,233,6
Action-41015,379,38
Action-41016,466,1
Action-41017,331,46
Action-41018,41,7
Action-41019,268,22
Action-41020,337,28
Action-41021,455,26
Action-41022,70,37
Action-41023,480,27
Action-41024,19,48
Action-41025,268,13
Action-41026,233,26
Action-41027,494,30
Action-41028,313,46
Action-41029,342,26
Action-41030,413,41
Action-41031,72,1
Action-41032,42,9
Action-41033,240,41
Action-41034,39,24
Action-41035,80,7
Action-41036,154,21
Action-41037,333,6
Action-41038,226,42
Action-41039,346,39
Action-41040,401,9
Action-41041,70,4
Action-41042,279,21
Action-41043,102,1
Action-41044,81,13
Action-41045,85,15
Action-41046,60,11
Action-41047,220,48
Action-41048,261,45
Action-41049,26,6
Action-41050,302,28
Action-41051,296,10
Action-41052,172,34
Action-41053,238,47
Action-41054,392,7
Action-41055,135,16
Action-41056,256,10
Action-41057,41,19
Action-41058,122,4
Action-41059,125,21
Action-41060,186,16
Action-41061,492,27
Action-41062,145,43
Action-41063,384,49
Action-41064,165,34
Action-41065,431,8
Action-41066,68,32
Action-41067,104,16
Action-41068,412,24
Action-41069,312,12
Action-41070,455,1
Action-41071,68,1
Action-41072,374,37
Action-41073,63,38
Action-41074,38,23
Action-41075,302,28
Action-41076,338,37
Action-41077,293,46
Action-41078,110,42
Action-41079,481,48
Action-41080,337,7
Action-41081,179,31
Action-41082,311,39
Action-41083,268,27
Action-41084,484,22
Action-41085,123,44
Action-41086,348,26
Action-41087,230,33
Action-41088,345,41
Action-41089,216,7
Action-41090,95,19
Action-41091,78,4
Action-41092,453,40
Action-41093,327,12
Action-41094,346,19
Action-41095,398,22
Action-41096,35,13
Action-41097,93,10
Action-41098,342,41
Action-41099,73,25
Action-41100,436,22
Action-41101,406,21
Action-41102,52,3
Action-41103,76,1
Action-41104,208,13
Action-41105,379,13
Action-41106,211,25
Action-41107,346,40
Action-41108,91,24
Action-41109,406,15
Action-41110,433,43
Action-41111,341,7
Action-41112,140,16
Action-41113,454,28
Action-41114,233,15
Action-41115,58,26
Action-41116,180,45
Action-41117,446,5
Action-41118,480,23
Action-41119,184,0
Action-41120,94,32
Action-41121,144,36
Action-41122,404,5
Action-41123,388,0
Action-41124,56,30
Action-41125,435,11
Action-41126,400,6
Action-41127,187,31
Action-41128,247,4
Action-41129,422,21
Action-41130,219,38
Action-41131,230,16
Action-41132,105,40
Action-41133,380,35
Action-41134,23,0
Action-41135,132,18
Action-41136,267,15
Action-41137,318,10
Action-41138,190,16
Action-41139,457,35
Action-41140,51,7
Action-41141,249,27
Action-41142,90,8
Action-41143,164,37
Action-41144,343,16
Action-41145,373,39
Action-41146,200,3
Action-41147,344,11
Action-41148,22,19
Action-41149,63,19
Action-41150,337,22
Action-41151,194,33
Action-41152,153,5
Action-41153,442,16
Action-41154,460,11
Action-41155,336,25
Action-41156,301,19
Action-41157,452,16
Action-41158,19,16
Action-41159,273,33
Action-41160,131,14
Action-41161,51,47
Action-41162,353,1
Action-41163,43,17
Action-41164,2,45
Action-41165,123,5
Action-41166,232,37
Action-41167,233,25
Action-41168,133,29
Action-41169,193,28
Action-41170,333,49
Action-41171,285,8
Action-41172,324,16
Action-41173,246,15
Action-41174,459,21
Action-41175,242,27
Action-41176,231,16
Action-41177,75,11
Action-41178,164,41
Action-41179,213,16
Action-41180,118,11
Action-41181,192,30
Action-41182,223,18
Action-41183,171,20
Action-41184,53,5
Action-41185,296,12
Action-41186,289,30
Action-41187,231,22
Action-41188,284,34
Action-41189,249,30
Action-41190,318,22
Action-41191,165,6
Action-41192,464,10
Action-41193,370,48
Action-41194,373,7
Action-41195,114,6
Action-41196,294,27
Action-41197,64,28
Action-41198,249,16
Action-41199,394,2
Action-41200,441,23
Action-41201,175,9
Action-41202,294,27
Action-41203,350,39
Action-41204,223,41
Action-41205,91,6
Action-41206,77,1
Action-41207,489,31
Action-41208,230,43
Action-41209,220,2
Action-41210,448,1
Action-41211,216,14
Action-41212,368,11
Action-41213,354,38
Action-41214,139,49
Action-41215,17,46
Action-41216,20,34
Action-41217,422,48
Action-41218,142,42
Action-41219,313,39
Action-41220,219,32
Action-41221,331,0
Action-41222,302,42
Action-41223,82,5
Action-41224,254,15
Action-41225,464,30
Action-41226,116,0
Action-41227,162,26
Action-41228,290,14
Action-41229,248,13
Action-41230,201,33
Action-41231,183,39
Action-41232,242,34
Action-41233,31,22
Action-41234,366,38
Action-41235,64,30
Action-41236,271,32
Action-41237,329,1
Action-41238,211,16
Action-41239,414,4
Action-41240,73,47
Action-41241,50,3
Action-41242,257,28
Action-41243,373,15
Action-41244,352,18
Action-41245,392,39
Action-41246,365,13
Action-41247,172,3
Action-41248,208,1
Action-41249,428,44
Action-41250,76,34
Action-41251,5,34
Action-41252,355,30
Action-41253,134,31
Action-41254,289,35
Action-41255,160,37
Action-41256,71,44
Action-41257,240,16
Action-41258,345,32
Action-41259,222,35
Action-41260,445,37
Action-41261,307,25
Action-41262,244,49
Action-41263,268,18
Action-41264,470,41
Action-41265,387,19
Action-41266,308,20
Action-41267,247,12
Action-41268,247,35
Action-41269,253,43
Action-41270,214,38
Action-41271,149,17
Action-41272,32,1
Action-41273,35,38
Action-41274,144,36
Action-41275,187,36
Action-41276,373,39
Action-41277,90,5
Action-41278,276,15
Action-41279,55,34
Action-41280,482,30
Action-41281,423,11
Action-41282,447,36
Action-41283,487,37
Action-41284,57,7
Action-41285,466,41
Action-41286,124,7
Action-41287,422,36
Action-41288,391,10
Action-41289,166,2
Action-41290,2,23
Action-41291,392,18
Action-41292,128,28
Action-41293,64,40
Action-41294,327,39
Action-41295,433,6
Action-41296,202,43
Action-41297,321,29
Action-41298,280,38
Action-41299,428,0
Action-41300,324,23
Action-41301,336,39
Action-41302,261,10
Action-41303,140,42
Action-41304,217,27
Action-41305,233,19
Action-41306,49,32
Action-41307,268,35
Action-41308,209,25
Action-41309,330,8
Action-41310,179,38
Action-41311,194,37
Action-41312,362,24
Action-41313,405,40
Action-41314,448,11
Action-41315,94,26
Action-41316,108,31
Action-41317,464,8
Action-41318,75,23
Action-41319,451,22
Action-41320,284,43
Action-41321,33,21
Action-41322,202,34
Action-41323,447,37
Action-41324,487,15
Action-41325,66,40
Action-41326,78,17
Action-41327,314,0
Action-41328,97,15
Action-41329,472,13
Action-41330,499,43
Action-41331,91,24
Action-41332,405,0
Action-41333,465,4
Action-41334,107,47
Action-41335,315,46
Action-41336,241,25
Action-41337,360,10
Action-41338,431,35
Action-41339,22,37
Action-41340,7,10
Action-41341,125,45
Action-41342,167,43
Action-41343,333,5
Action-41344,3,40
Action-41345,472,19
Action-41346,60,3
Action-41347,42,37
Action-41348,446,33
Action-41349,25,39
Action-41350,438,28
Action-41351,485,35
Action-41352,473,6
Action-41353,127,19
Action-41354,25,37
Action-41355,31,2
Action-41356,297,7
Action-41357,210,11
Action-41358,126,0
Action-41359,21,29
Action-41360,239,9
Action-41361,310,19
Action-41362,432,12
Action-41363,47,29
Action-41364,81,7
Action-41365,246,47
Action-41366,4,47
Action-41367,452,45
Action-41368,450,44
Action-41369,112,33
Action-41370,442,48
Action-41371,110,0
Action-41372,148,14
Action-41373,28,47
Action-41374,123,44
Action-41375,442,28
Action-41376,486,23
Action-41377,67,23
Action-41378,310,13
Action-41379,267,23
Action-41380,205,6
Action-41381,219,44
Action-41382,114,42
Action-41383,80,49
Action-41384,348,38
Action-41385,54,10
Action-41386,291,24
Action-41387,31,20
Action-41388,112,25
Action-41389,154,10
Action-41390,11,32
Action-41391,322,22
Action-41392,210,7
Action-41393,69,7
Action-41394,148,33
Action-41395,184,24
Action-41396,217,21
Action-41397,136,36
Action-41398,454,26
Action-41399,117,35
Action-41400,378,0
Action-41401,311,8
Action-41402,432,4
Action-41403,91,25
Action-41404,309,4
Action-41405,376,44
Action-41406,198,15
Action-41407,445,8
Action-41408,97,37
Action-41409,60,25
Action-41410,440,4
Action-41411,98,33
Action-41412,262,33
Action-41413,408,6
Action-41414,404,10
Action-41415,240,44
Action-41416,448,41
Action-41417,102,39
Action-41418,453,3
Action-41419,184,19
Action-41420,257,12
Action-41421,233,2
Action-41422,62,33
Action-41423,118,28
Action-41424,352,22
Action-41425,160,25
Action-41426,377,13
Action-41427,246,33
Action-41428,89,26
Action-41429,330,23
Action-41430,369,24
Action-41431,373,40
Action-41432,442,48
Action-41433,417,40
Action-41434,23,5
Action-41435,54,19
Action-41436,484,35
Action-41437,144,20
Action-41438,144,43
Action-41439,159,5
Action-41440,288,5
Action-41441,113,42
Action-41442,415,26
Action-41443,64,33
Action-41444,261,0
Action-41445,40,27
Action-41446,129,25
Action-41447,365,48
Action-41448,104,48
Action-41449,90,23
Action-41450,5,20
Action-41451,143,46
Action-41452,489,4
Action-41453,99,15
Action-41454,314,31
Action-41455,112,47
Action-41456,107,26
Action-41457,90,38
Action-41458,403,46
Action-41459,54,4
Action-41460,327,39
Action-41461,182,15
Action-41462,163,10
Action-41463,49,2
Action-41464,9,7
Action-41465,45,11
Action-41466,346,20
Action-41467,90,32
Action-41468,250,27
Action-41469,169,46
Action-41470,350,10
Action-41471,414,1
Action-41472,29,46
Action-41473,257,25
Action-41474,19,22
Action-41475,170,43
Action-41476,10,34
Action-41477,106,0
Action-41478,398,26
Action-41479,346,27
Action-41480,218,22
Action-41481,50,11
Action-41482,233,14
Action-41483,200,36
Action-41484,217,2
Action-41485,361,16
Action-41486,347,35
Action-41487,246,34
Action-41488,208,20
Action-41489,193,41
Action-41490,198,4
Action-41491,260,26
Action-41492,308,25
Action-41493,108,25
Action-41494,188,36
Action-41495,95,5
Action-41496,427,39
Action-41497,385,21
Action-41498,276,11
Action-41499,288,5
Action-41500,456,14
Action-41501,138,32
Action-41502,281,1
Action-41503,232,24
Action-41504,153,23
Action-41505,325,46
Action-41506,157,30
Action-41507,57,23
Action-41508,275,11
Action-41509,172,25
Action-41510,292,37
Action-41511,1,19
Action-41512,229,49
Action-41513,109,35
Action-41514,489,28
Action-41515,414,30
Action-41516,259,23
Action-41517,39,30
Action-41518,273,35
Action-41519,427,30
Action-41520,114,17
Action-41521,244,23
Action-41522,297,33
Action-41523,76,36
Action-41524,130,27
Action-41525,407,22
Action-41526,55,12
Action-41527,292,1
Action-41528,334,29
Action-41529,397,13
Action-41530,361,47
Action-41531,223,15
Action-41532,159,2
Action-41533,313,22
Action-41534,68,36
Action-41535,351,23
Action-41536,302,31
Action-41537,296,47
Action-41538,205,28
Action-41539,164,22
Action-41540,398,3
Action-41541,429,10
Action-41542,212,24
Action-41543,469,47
Action-41544,87,48
Action-41545,343,39
Action-41546,163,29
Action-41547,229,49
Action-41548,434,4
Action-41549,308,41
Action-41550,485,29
Action-41551,62,8
Action-41552,383,40
Action-41553,112,12
Action-41554,44,49
Action-41555,182,32
Action-41556,404,4
Action-41557,324,33
Action-41558,82,39
Action-41559,317,14
Action-41560,154,40
Action-41561,192,22
Action-41562,449,20
Action-41563,56,39
Action-41564,62,42
Action-41565,488,37
Action-41566,146,30
Action-41567,138,46
Action-41568,168,33
Action-41569,31,34
Action-41570,199,9
Action-41571,136,33
Action-41572,469,10
Action-41573,160,16
Action-41574,7,38
Action-41575,371,34
Action-41576,406,12
Action-41577,261,36
Action-41578,149,30
Action-41579,439,27
Action-41580,185,2
Action-41581,380,23
Action-41582,402,44
Action-41583,0,19
Action-41584,91,25
Action-41585,439,34
Action-41586,104,22
Action-41587,27,22
Action-41588,492,31
Action-41589,307,24
Action-41590,18,9
Action-41591,256,35
Action-41592,262,21
Action-41593,44,28
Action-41594,465,16
Action-41595,282,22
Action-41596,156,3
Action-41597,68,49
Action-41598,105,28
Action-41599,356,15
Action-41600,499,25
Action-41601,78,21
Action-41602,113,39
Action-41603,415,24
Action-41604,368,2
Action-41605,291,35
Action-41606,42,45
Action-41607,167,49
Action-41608,298,24
Action-41609,286,8
Action-41610,330,44
Action-41611,122,17
Action-41612,79,10
Action-41613,81,29
Action-41614,435,42
Action-41615,248,24
Action-41616,498,30
Action-41617,144,6
Action-41618,145,33
Action-41619,211,0
Action-41620,166,36
Action-41621,183,49
Action-41622,397,24
Action-41623,183,46
Action-41624,341,41
Action-41625,360,44
Action-41626,457,41
Action-41627,430,38
Action-41628,150,35
Action-41629,490,21
Action-41630,414,23
Action-41631,37,13
Action-41632,489,36
Action-41633,13,15
Action-41634,369,30
Action-41635,38,37
Action-41636,323,45
Action-41637,3,45
Action-41638,184,46
Action-41639,215,8
Action-41640,64,39
Action-41641,280,26
Action-41642,190,35
Action-41643,122,47
Action-41644,131,23
Action-41645,268,1
Action-41646,45,45
Action-41647,317,2
Action-41648,451,27
Action-41649,403,48
Action-41650,277,27
Action-41651,107,43
Action-41652,411,49
Action-41653,497,0
Action-41654,316,30
Action-41655,284,17
Action-41656,34,32
Action-41657,295,12
Action-41658,413,11
Action-41659,440,48
Action-41660,284,7
Action-41661,175,31
Action-41662,463,47
Action-41663,334,18
Action-41664,465,24
Action-41665,28,20
Action-41666,392,46
Action-41667,285,9
Action-41668,379,0
Action-41669,219,0
Action-41670,294,12
Action-41671,44,19
Action-41672,166,22
Action-41673,126,16
Action-41674,298,23
Action-41675,208,15
Action-41676,38,11
Action-41677,487,34
Action-41678,283,33
Action-41679,311,13
Action-41680,335,24
Action-41681,381,16
Action-41682,336,33
Action-41683,403,35
Action-41684,15,19
Action-41685,196,14
Action-41686,22,39
Action-41687,416,30
Action-41688,470,17
Action-41689,499,48
Action-41690,101,39
Action-41691,280,2
Action-41692,378,38
Action-41693,400,2
Action-41694,377,11
Action-41695,457,40
Action-41696,432,20
Action-41697,119,29
Action-41698,24,31
Action-41699,330,47
Action-41700,349,49
Action-41701,288,20
Action-41702,320,18
Action-41703,482,17
Action-41704,97,4
Action-41705,375,46
Action-41706,214,19
Action-41707,116,45
Action-41708,43,27
Action-41709,200,45
Action-41710,297,35
Action-41711,352,6
Action-41712,483,3
Action-41713,453,2
Action-41714,254,19
Action-41715,106,19
Action-41716,331,28
Action-41717,313,15
Action-41718,408,18
Action-41719,281,6
Action-41720,231,46
Action-41721,128,26
Action-41722,236,13
Action-41723,9,45
Action-41724,193,5
Action-41725,401,21
Action-41726,132,39
Action-41727,361,47
Action-41728,355,20
Action-41729,175,4
Action-41730,70,34
Action-41731,441,31
Action-41732,249,9
Action-41733,152,37
Action-41734,136,26
Action-41735,93,38
Action-41736,367,30
Action-41737,174,26
Action-41738,358,29
Action-41739,221,35
Action-41740,436,6
Action-41741,471,46
Action-41742,216,4
Action-41743,78,36
Action-41744,169,43
Action-41745,153,29
Action-41746,404,5
Action-41747,358,0
Action-41748,74,23
Action-41749,139,16
Action-41750,201,35
Action-41751,478,31
Action-41752,414,35
Action-41753,81,12
Action-41754,495,18
Action-41755,447,14
Action-41756,135,24
Action-41757,38,23
Action-41758,186,5
Action-41759,54,21
Action-41760,15,39
Action-41761,407,42
Action-41762,84,29
Action-41763,137,34
Action-41764,225,6
Action-41765,339,44
Action-41766,401,43
Action-41767,417,7
Action-41768,168,47
Action-41769,488,34
Action-41770,132,28
Action-41771,145,48
Action-41772,81,29
Action-41773,352,44
Action-41774,130,41
Action-41775,361,17
Action-41776,304,46
Action-41777,124,47
Action-41778,434,44
Action-41779,430,38
Action-41780,11,29
Action-41781,106,10
Action-41782,494,34
Action-41783,88,36
Action-41784,250,15
Action-41785,267,42
Action-41786,292,15
Action-41787,321,3
Action-41788,436,48
Action-41789,366,17
Action-41790,412,38
Action-41791,167,19
Action-41792,284,12
Action-41793,106,48
Action-41794,4,27
Action-41795,223,47
Action-41796,219,12
Action-41797,125,31
Action-41798,141,1
Action-41799,241,44
Action-41800,208,25
Action-41801,289,7
Action-41802,209,28
Action-41803,171,9
Action-41804,169,21
Action-41805,280,4
Action-41806,66,14
Action-41807,448,7
Action-41808,176,18
Action-41809,77,45
Action-41810,341,9
Action-41811,169,18
Action-41812,402,14
Action-41813,261,14
Action-41814,177,16
Action-41815,18,3
Action-41816,75,17
Action-41817,32,22
Action-41818,197,6
Action-41819,382,36
Action-41820,55,28
Action-41821,247,37
Action-41822,475,18
Action-41823,213,29
Action-41824,273,16
Action-41825,56,40
Action-41826,152,47
Action-41827,27,8
Action-41828,494,15
Action-41829,105,14
Action-41830,471,37
Action-41831,83,7
Action-41832,182,19
Action-41833,138,11
Action-41834,388,30
Action-41835,101,20
Action-41836,353,2
Action-41837,52,28
Action-41838,406,40
Action-41839,280,38
Action-41840,142,9
Action-41841,461,9
Action-41842,385,35
Action-41843,350,37
Action-41844,128,28
Action-41845,82,17
Action-41846,106,30
Action-41847,153,13
Action-41848,45,16
Action-41849,35,40
Action-41850,202,36
Action-41851,408,23
Action-41852,192,44
Action-41853,49,8
Action-41854,41,39
Action-41855,46,25
Action-41856,227,36
Action-41857,396,43
Action-41858,41,42
Action-41859,133,7
Action-41860,136,30
Action-41861,190,22
Action-41862,67,38
Action-41863,133,24
Action-41864,174,27
Action-41865,363,15
Action-41866,356,30
Action-41867,216,22
Action-41868,65,49
Action-41869,453,20
Action-41870,79,29
Action-41871,452,29
Action-41872,89,33
Action-41873,36,40
Action-41874,441,19
Action-41875,76,45
Action-41876,458,30
Action-41877,52,28
Action-41878,313,49
Action-41879,213,19
Action-41880,493,43
Action-41881,484,2
Action-41882,441,36
Action-41883,115,40
Action-41884,156,44
Action-41885,381,24
Action-41886,96,5
Action-41887,64,0
Action-41888,312,7
Action-41889,489,19
Action-41890,228,49
Action-41891,143,44
Action-41892,479,28
Action-41893,165,34
Action-41894,485,9
Action-41895,296,4
Action-41896,208,36
Action-41897,315,14
Action-41898,52,43
Action-41899,272,47
Action-41900,452,24
Action-41901,100,30
Action-41902,168,46
Action-41903,499,34
Action-41904,245,27
Action-41905,367,41
Action-41906,463,33
Action-41907,419,4
Action-41908,466,4
Action-41909,155,30
Action-41910,481,20
Action-41911,344,22
Action-41912,471,22
Action-41913,318,29
Action-41914,188,26
Action-41915,84,16
Action-41916,419,47
Action-41917,407,43
Action-41918,281,47
Action-41919,223,1
Action-41920,14,11
Action-41921,98,3
Action-41922,387,18
Action-41923,67,44
Action-41924,294,5
Action-41925,172,27
Action-41926,445,34
Action-41927,71,8
Action-41928,92,38
Action-41929,167,42
Action-41930,165,34
Action-41931,94,26
Action-41932,152,12
Action-41933,255,26
Action-41934,380,45
Action-41935,460,44
Action-41936,477,25
Action-41937,154,47
Action-41938,20,8
Action-41939,238,44
Action-41940,343,27
Action-41941,97,21
Action-41942,219,14
Action-41943,199,33
Action-41944,110,26
Action-41945,12,17
Action-41946,83,0
Action-41947,171,45
Action-41948,420,36
Action-41949,207,30
Action-41950,197,15
Action-41951,121,25
Action-41952,314,47
Action-41953,388,28
Action-41954,415,11
Action-41955,487,46
Action-41956,440,25
Action-41957,349,1
Action-41958,227,17
Action-41959,290,38
Action-41960,462,10
Action-41961,69,26
Action-41962,364,4
Action-41963,22,39
Action-41964,284,36
Action-41965,188,46
Action-41966,432,47
Action-41967,253,44
Action-41968,10,18
Action-41969,293,14
Action-41970,196,45
Action-41971,273,1
Action-41972,328,46
Action-41973,359,10
Action-41974,464,32
Action-41975,376,2
Action-41976,370,29
Action-41977,176,39
Action-41978,95,7
Action-41979,239,22
Action-41980,74,27
Action-41981,245,35
Action-41982,135,4
Action-41983,407,31
Action-41984,495,45
Action-41985,19,29
Action-41986,255,44
Action-41987,337,5
Action-41988,165,2
Action-41989,498,36
Action-41990,283,0
Action-41991,336,46
Action-41992,113,29
Action-41993,194,36
Action-41994,478,10
Action-41995,42,38
Action-41996,484,23
Action-41997,65,1
Action-41998,62,10
Action-41999,495,12
Action-42000,268,12
Action-42001,237,34
Action-42002,284,41
Action-42003,159,21
Action-42004,363,18
Action-42005,267,35
Action-42006,455,12
Action-42007,64,14
Action-42008,344,39
Action-42009,206,24
Action-42010,388,46
Action-42011,490,47
Action-42012,173,27
Action-42013,184,18
Action-42014,171,33
Action-42015,458,32
Action-42016,376,43
Action-42017,318,15
Action-42018,180,39
Action-42019,306,47
Action-42020,466,37
Action-42021,448,10
Action-42022,247,4
Action-42023,313,18
Action-42024,121,42
Action-42025,277,23
Action-42026,259,15
Action-42027,113,49
Action-42028,494,37
Action-42029,443,23
Action-42030,294,38
Action-42031,69,28
Action-42032,138,39
Action-42033,386,29
Action-42034,487,16
Action-42035,319,13
Action-42036,324,23
Action-42037,336,15
Action-42038,387,19
Action-42039,70,3
Action-42040,312,29
Action-42041,416,34
Action-42042,383,45
Action-42043,221,2
Action-42044,20,10
Action-42045,46,8
Action-42046,286,40
Action-42047,113,39
Action-42048,450,49
Action-42049,135,36
Action-42050,212,41
Action-42051,169,49
Action-42052,437,38
Action-42053,342,6
Action-42054,488,31
Action-42055,352,49
Action-42056,162,37
Action-42057,208,1
Action-42058,347,17
Action-42059,449,22
Action-42060,182,17
Action-42061,48,45
Action-42062,185,21
Action-42063,230,17
Action-42064,227,23
Action-42065,462,10
Action-42066,138,31
Action-42067,164,5
Action-42068,249,1
Action-42069,317,32
